index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,Age,id,dup,cards,family_category
49,0,0,1,0,585000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2010,0,1,0,Laborers,2.0,12.0,2.0,51.66575342465753,50,1,5,small
50,0,1,0,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,1101,1,0,0,Sales staff,3.0,4.0,2.0,38.221917808219175,51,1,4,small
51,1,1,1,0,495000.0,Working,Incomplete higher,Married,With parents,1101,0,0,1,Drivers,2.0,10.0,2.0,24.43013698630137,52,1,3,small
52,0,0,1,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,0,Unemployed,2.0,37.0,2.0,65.87397260273973,53,1,4,small
53,0,1,1,2,306000.0,State servant,Higher education,Married,House / apartment,3965,0,0,0,Core staff,4.0,42.0,2.0,37.0986301369863,54,1,3,big
54,0,0,0,1,99000.0,Working,Secondary / secondary special,Married,House / apartment,422,0,0,0,Laborers,3.0,2.0,1.0,42.81095890410959,55,1,7,small
55,0,0,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,3010,0,0,0,Laborers,2.0,24.0,2.0,37.961643835616435,56,1,6,small
56,0,1,1,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,9391,0,1,0,Laborers,2.0,29.0,2.0,44.21095890410959,57,1,5,small
57,0,0,1,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,642,0,0,0,Core staff,1.0,3.0,1.0,46.66027397260274,58,1,15,Nuclear
58,0,0,1,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,Unemployed,2.0,23.0,2.0,63.92876712328767,59,1,6,small
59,0,0,1,0,360000.0,Pensioner,Higher education,Married,House / apartment,0,0,1,0,Unemployed,2.0,25.0,2.0,62.97260273972603,60,1,5,small
60,1,1,1,0,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0,0,0,0,Unemployed,1.0,1.0,1.0,58.62191780821918,61,0,1,Nuclear
61,1,1,0,1,270000.0,Commercial associate,Higher education,Married,House / apartment,1371,0,0,0,Managers,3.0,15.0,2.0,31.15890410958904,62,1,3,small
62,0,1,1,0,225000.0,Working,Higher education,Married,House / apartment,3153,0,1,0,Core staff,2.0,40.0,1.0,47.676712328767124,63,1,12,small
63,1,1,1,0,315000.0,Working,Higher education,Married,House / apartment,3337,0,0,0,Managers,2.0,21.0,2.0,42.701369863013696,64,1,5,small
64,1,1,0,0,67500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,716,0,0,0,Security staff,1.0,32.0,2.0,24.786301369863015,65,1,2,Nuclear
65,0,0,1,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,4936,1,0,0,Cleaning staff,2.0,10.0,2.0,34.87397260273973,66,1,6,small
66,1,0,1,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,2783,0,0,0,Laborers,3.0,4.0,1.0,37.701369863013696,67,0,1,small
67,0,0,1,2,157500.0,Commercial associate,Higher education,Married,House / apartment,1216,0,0,0,High skill tech staff,4.0,2.0,1.0,33.24657534246575,68,1,12,big
68,0,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1610,0,0,0,Laborers,2.0,14.0,1.0,28.243835616438357,69,1,6,small
69,0,0,1,0,157500.0,Working,Higher education,Married,House / apartment,2969,0,0,1,Medicine staff,2.0,59.0,2.0,42.36164383561644,70,1,4,small
70,1,0,1,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,1928,0,1,0,Laborers,1.0,39.0,2.0,27.052054794520547,71,1,8,Nuclear
71,1,1,0,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,3787,0,0,0,Laborers,4.0,54.0,2.0,43.57260273972603,72,1,12,big
72,0,0,0,0,351000.0,Commercial associate,Higher education,Married,House / apartment,1081,0,1,0,Laborers,2.0,4.0,2.0,59.106849315068494,73,1,5,small
73,0,0,1,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,0,Unemployed,2.0,34.0,2.0,63.75068493150685,74,1,6,small
74,0,0,1,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,219,1,1,0,Sales staff,3.0,25.0,2.0,28.356164383561644,75,0,1,small
75,0,1,1,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,5500,0,0,1,Core staff,2.0,34.0,2.0,42.88493150684931,76,1,16,small
76,0,1,0,0,315000.0,Commercial associate,Higher education,Married,House / apartment,586,1,1,0,Laborers,2.0,15.0,2.0,37.14246575342466,77,1,10,small
77,0,0,0,0,135000.0,Working,Higher education,Single / not married,House / apartment,520,0,0,0,Core staff,1.0,7.0,1.0,26.898630136986302,78,1,7,Nuclear
78,0,1,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,231,1,0,0,Sales staff,2.0,23.0,1.0,34.76712328767123,79,1,2,small
79,0,1,1,1,225000.0,Working,Higher education,Separated,House / apartment,1672,0,0,0,Core staff,2.0,2.0,0.0,40.59178082191781,80,1,12,small
80,0,0,1,0,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,212,0,0,0,Laborers,2.0,2.0,1.0,48.93698630136986,81,1,9,small
81,1,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,962,0,0,1,Sales staff,2.0,0.0,0.0,28.257534246575343,82,1,2,small
82,0,1,1,0,216000.0,Working,Higher education,Civil marriage,House / apartment,1423,0,0,1,Accountants,2.0,53.0,2.0,41.846575342465755,83,0,1,small
83,0,0,0,2,180000.0,Working,Higher education,Married,House / apartment,1700,0,0,0,High skill tech staff,4.0,38.0,1.0,32.61643835616438,84,1,4,big
84,1,1,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,0,Unemployed,2.0,27.0,2.0,64.55616438356165,85,1,4,small
85,1,1,0,0,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,1215,0,0,0,Laborers,2.0,41.0,1.0,49.35068493150685,86,1,11,small
86,1,1,1,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,451,1,0,1,Drivers,3.0,45.0,2.0,34.441095890410956,87,1,8,small
87,0,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,235,1,1,1,Core staff,1.0,56.0,2.0,36.35616438356164,88,1,5,Nuclear
88,0,1,1,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,5427,0,0,0,Managers,2.0,45.0,2.0,55.92328767123288,89,0,1,small
89,1,0,0,0,450000.0,Commercial associate,Incomplete higher,Married,House / apartment,4145,1,1,0,Managers,2.0,59.0,2.0,39.63013698630137,90,1,5,small
90,0,0,1,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,9404,1,0,0,Cleaning staff,2.0,30.0,2.0,55.342465753424655,91,1,2,small
91,0,1,1,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,2988,0,0,0,Private service staff,2.0,20.0,2.0,51.35342465753425,92,1,5,small
92,1,1,1,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,691,0,0,0,Laborers,3.0,5.0,2.0,33.397260273972606,93,1,2,small
93,0,0,1,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,3629,0,0,0,High skill tech staff,1.0,22.0,1.0,52.2,94,1,4,Nuclear
94,0,0,1,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,Unemployed,2.0,26.0,2.0,65.12328767123287,95,1,15,small
95,1,0,1,0,79650.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,0,Unemployed,2.0,14.0,2.0,44.057534246575344,96,1,3,small
96,1,0,1,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2087,0,0,0,Security staff,2.0,56.0,2.0,64.86027397260274,97,1,9,small
97,1,1,1,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1212,0,0,0,Drivers,2.0,46.0,2.0,25.67945205479452,98,1,3,small
98,1,1,1,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,588,0,0,1,Sales staff,1.0,5.0,2.0,29.69041095890411,99,1,9,Nuclear
99,0,0,0,0,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,12332,0,1,1,Medicine staff,1.0,35.0,2.0,53.04931506849315,100,1,10,Nuclear
100,0,0,1,0,135000.0,Working,Higher education,Married,House / apartment,8491,0,0,0,Private service staff,2.0,9.0,2.0,60.58082191780822,101,1,4,small
101,0,0,1,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,3046,1,1,0,Managers,2.0,2.0,1.0,53.865753424657534,102,1,5,small
102,0,0,0,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,604,0,0,0,Managers,3.0,12.0,2.0,33.61369863013699,103,1,4,small
103,1,1,0,0,315000.0,Working,Higher education,Married,House / apartment,3720,1,1,0,Managers,2.0,12.0,2.0,43.35616438356164,104,1,4,small
104,1,1,1,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,2537,0,1,0,Sales staff,1.0,7.0,0.0,43.81917808219178,105,1,5,Nuclear
105,1,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2606,0,0,0,Laborers,2.0,5.0,2.0,27.353424657534248,106,1,5,small
106,0,0,0,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,1959,0,1,0,Laborers,3.0,47.0,2.0,44.15890410958904,107,1,7,small
107,0,1,0,1,306000.0,Working,Higher education,Married,House / apartment,1678,0,0,0,Laborers,3.0,4.0,1.0,25.506849315068493,108,1,4,small
108,0,0,1,0,153000.0,Working,Higher education,Single / not married,House / apartment,683,0,1,0,Core staff,1.0,22.0,2.0,29.484931506849314,109,1,9,Nuclear
109,0,0,1,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,2234,1,1,0,High skill tech staff,2.0,13.0,2.0,62.49589041095891,110,1,6,small
110,1,1,1,0,315000.0,Commercial associate,Higher education,Married,House / apartment,164,0,0,0,Managers,2.0,57.0,2.0,35.1945205479452,111,1,3,small
111,1,1,1,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,2371,0,0,0,Drivers,3.0,44.0,2.0,44.31506849315068,112,1,3,small
112,0,0,0,0,193500.0,Working,Secondary / secondary special,Single / not married,House / apartment,201,0,1,0,Laborers,1.0,4.0,2.0,48.83835616438356,113,0,1,Nuclear
113,0,0,1,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1138,0,0,0,Cooking staff,4.0,36.0,1.0,47.62739726027397,114,1,3,big
114,1,1,1,2,135000.0,Working,Higher education,Married,House / apartment,2944,0,0,1,Managers,4.0,43.0,2.0,31.682191780821917,115,1,4,big
115,0,0,0,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,Unemployed,2.0,49.0,2.0,57.31506849315068,116,0,1,small
116,0,1,1,1,382500.0,Working,Secondary / secondary special,Married,House / apartment,2751,0,0,0,Managers,3.0,11.0,2.0,39.224657534246575,117,0,1,small
117,0,0,1,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,674,0,0,0,Sales staff,2.0,27.0,2.0,44.30958904109589,118,1,5,small
118,0,0,1,0,112500.0,Working,Higher education,Married,House / apartment,5756,0,1,0,Sales staff,2.0,47.0,2.0,50.02465753424657,119,0,1,small
119,0,0,1,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,1854,1,1,0,Cooking staff,4.0,0.0,1.0,33.95342465753425,120,1,3,big
120,0,0,1,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,0,Unemployed,1.0,4.0,1.0,58.895890410958906,121,1,12,Nuclear
121,0,0,0,0,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,9988,1,1,0,Sales staff,2.0,35.0,2.0,45.59178082191781,122,1,9,small
122,0,1,1,2,283500.0,State servant,Higher education,Married,House / apartment,4120,0,0,0,Core staff,4.0,39.0,2.0,35.347945205479455,123,1,5,big
123,0,0,1,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,6226,0,0,0,High skill tech staff,2.0,48.0,2.0,53.23561643835617,124,1,9,small
124,0,1,1,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,3357,0,0,0,Accountants,4.0,55.0,2.0,42.534246575342465,125,1,4,big
125,1,0,1,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,4039,0,0,0,Managers,2.0,42.0,2.0,34.2,126,1,13,small
126,0,1,0,1,175500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,4983,0,0,0,Laborers,2.0,45.0,2.0,32.07945205479452,127,1,5,small
127,1,1,1,1,360000.0,Commercial associate,Higher education,Married,House / apartment,410,0,1,1,Laborers,3.0,30.0,2.0,45.30684931506849,128,1,4,small
128,0,0,1,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,5221,0,0,0,Laborers,3.0,38.0,1.0,37.64657534246575,129,1,7,small
129,1,0,0,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,1749,0,0,0,Laborers,3.0,11.0,2.0,48.04657534246575,130,1,2,small
130,0,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,3234,0,0,0,Laborers,1.0,1.0,0.0,42.51780821917808,131,1,35,Nuclear
131,0,1,0,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,5330,0,1,0,Laborers,2.0,33.0,0.0,38.98082191780822,132,1,11,small
132,0,0,0,0,225000.0,Commercial associate,Higher education,Married,House / apartment,429,1,1,0,Drivers,2.0,35.0,2.0,28.92876712328767,133,1,8,small
133,0,1,0,1,387000.0,Working,Higher education,Married,House / apartment,2574,0,0,0,Managers,3.0,22.0,2.0,36.07671232876712,134,1,8,small
134,0,1,1,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,0,Unemployed,1.0,6.0,2.0,62.989041095890414,135,1,7,Nuclear
135,1,1,0,1,337500.0,Commercial associate,Higher education,Separated,House / apartment,196,0,1,0,Managers,2.0,23.0,0.0,42.00821917808219,136,1,3,small
136,0,0,0,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,399,0,0,0,Accountants,3.0,29.0,2.0,34.63013698630137,137,1,4,small
137,0,1,1,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,3246,0,0,0,Sales staff,3.0,46.0,2.0,37.23561643835617,138,1,2,small
138,0,0,1,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,Unemployed,2.0,2.0,0.0,66.75890410958904,139,1,2,small
139,0,1,0,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,982,0,1,0,Laborers,2.0,39.0,2.0,37.23287671232877,140,1,6,small
140,1,1,1,1,180000.0,Working,Higher education,Married,With parents,1680,1,0,0,Laborers,3.0,15.0,0.0,32.64931506849315,141,1,7,small
141,0,1,1,1,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,3000,0,0,1,Core staff,3.0,12.0,2.0,28.90684931506849,142,1,11,small
142,1,1,1,0,360000.0,Working,Higher education,Married,House / apartment,1934,0,1,0,Managers,2.0,11.0,2.0,61.52328767123288,143,0,1,small
143,0,1,1,0,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1071,0,0,1,Core staff,2.0,45.0,2.0,37.865753424657534,144,1,8,small
144,0,1,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1322,0,0,0,Laborers,2.0,8.0,2.0,28.35890410958904,145,1,4,small
145,0,1,0,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,11940,0,1,0,Medicine staff,2.0,7.0,2.0,53.69315068493151,146,1,7,small
146,0,0,0,0,247500.0,Working,Higher education,Married,House / apartment,7400,1,1,0,Managers,2.0,6.0,1.0,38.728767123287675,147,1,9,small
147,0,0,1,0,157500.0,Working,Higher education,Married,House / apartment,709,0,0,0,Sales staff,2.0,11.0,1.0,34.74246575342466,148,1,2,small
148,1,1,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,808,0,1,0,Laborers,2.0,26.0,2.0,39.71506849315068,149,1,5,small
149,0,0,1,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,2379,0,0,0,Laborers,4.0,49.0,1.0,35.54520547945206,150,1,11,big
150,0,1,0,1,157500.0,Working,Higher education,Married,House / apartment,2828,0,0,0,Laborers,3.0,41.0,2.0,32.602739726027394,151,1,2,small
151,1,1,1,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,314,0,0,0,Drivers,2.0,33.0,2.0,42.038356164383565,152,1,3,small
152,0,1,1,0,360000.0,Working,Secondary / secondary special,Separated,House / apartment,574,1,0,0,Medicine staff,1.0,35.0,2.0,29.03287671232877,153,1,3,Nuclear
153,1,1,1,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,3476,0,0,0,Drivers,2.0,32.0,1.0,49.24657534246575,154,1,9,small
154,0,0,0,0,175500.0,Working,Secondary / secondary special,Married,House / apartment,10993,1,0,0,Laborers,2.0,46.0,2.0,51.69315068493151,155,1,7,small
155,0,0,1,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,Unemployed,2.0,35.0,2.0,55.78630136986301,156,1,5,small
156,1,0,1,1,135000.0,Working,Secondary / secondary special,Separated,House / apartment,880,0,0,0,Laborers,2.0,38.0,2.0,45.83013698630137,157,1,3,small
157,1,0,1,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,1447,0,0,0,Laborers,4.0,44.0,2.0,27.635616438356163,158,1,6,big
158,1,0,1,1,202500.0,State servant,Higher education,Married,House / apartment,2355,0,0,0,Core staff,3.0,39.0,2.0,29.46849315068493,159,1,6,small
159,0,0,1,0,153000.0,Pensioner,Higher education,Married,House / apartment,0,0,1,0,Unemployed,2.0,51.0,1.0,59.9972602739726,160,1,10,small
160,0,1,1,1,72000.0,Working,Secondary / secondary special,Married,House / apartment,1266,0,0,0,Sales staff,3.0,11.0,2.0,46.94794520547945,161,1,4,small
161,1,1,1,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,839,0,1,0,Managers,4.0,33.0,0.0,36.89041095890411,162,1,3,big
162,0,0,0,1,540000.0,Working,Secondary / secondary special,Separated,House / apartment,2045,1,0,0,Managers,2.0,60.0,2.0,44.95616438356164,163,1,3,small
163,0,0,1,0,155250.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,Unemployed,2.0,24.0,2.0,60.394520547945206,164,1,5,small
164,1,1,1,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,829,0,0,1,Security staff,2.0,3.0,1.0,57.02739726027397,165,0,1,small
165,0,0,1,0,139500.0,State servant,Higher education,Married,House / apartment,895,1,1,0,Core staff,2.0,4.0,1.0,57.58082191780822,166,1,2,small
166,0,0,1,0,495000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,1,0,Unemployed,1.0,15.0,2.0,59.16712328767123,167,1,3,Nuclear
167,1,1,0,0,459000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,119,1,1,0,Drivers,2.0,14.0,2.0,43.78082191780822,168,1,5,small
168,0,0,0,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,9870,1,1,0,Laborers,2.0,21.0,1.0,53.97808219178082,169,1,9,small
169,0,0,1,1,225000.0,Working,Secondary / secondary special,Separated,House / apartment,3792,0,0,0,Laborers,2.0,3.0,1.0,38.56712328767123,170,1,8,small
170,1,1,1,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,678,0,1,1,Core staff,3.0,60.0,2.0,49.78904109589041,171,1,9,small
171,0,0,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,869,0,0,0,Private service staff,2.0,2.0,0.0,42.463013698630135,172,1,5,small
